Rooms,Type,Price,Distance_from_CBD,Bathroom,Car_Spot,Region,Schooling_Facilities
2,h,1030000.0,2.7,1.0,1.0,northern metropolitan,239.0
3,h,927000.0,2.7,1.0,1.0,northern metropolitan,239.0
3,t,840000.0,13.5,2.0,1.0,western metropolitan,229.0
3,h,730000.0,13.5,2.0,1.0,western metropolitan,229.0
3,h,770000.0,13.5,2.0,1.0,western metropolitan,229.0
2,h,603000.0,13.5,1.0,1.0,western metropolitan,229.0
3,t,700000.0,13.5,2.0,2.0,western metropolitan,229.0
3,h,600000.0,13.5,1.0,1.0,western metropolitan,229.0
2,u,500000.0,13.5,1.0,1.0,western metropolitan,229.0
2,t,420000.0,13.5,1.0,2.0,western metropolitan,229.0
3,t,500000.0,13.5,1.0,2.0,western metropolitan,229.0
5,h,1035000.0,13.5,1.0,2.0,western metropolitan,229.0
4,h,960000.0,13.5,1.0,2.0,western metropolitan,229.0
3,h,720000.0,13.5,1.0,1.0,western metropolitan,229.0
4,h,785000.0,13.5,1.0,2.0,western metropolitan,229.0
5,h,725000.0,13.5,3.0,2.0,western metropolitan,229.0
2,t,450000.0,13.5,1.0,1.0,western metropolitan,229.0
2,u,515000.0,13.5,1.0,1.0,western metropolitan,229.0
3,h,680000.0,13.5,1.0,2.0,western metropolitan,229.0
2,u,530000.0,13.5,1.0,1.0,western metropolitan,229.0
3,h,895000.0,13.5,1.0,3.0,western metropolitan,229.0
3,u,600000.0,13.5,1.0,2.0,western metropolitan,229.0
3,h,805000.0,13.5,1.0,1.0,western metropolitan,229.0
3,t,760000.0,13.5,1.0,2.0,western metropolitan,229.0
3,u,752000.0,13.5,1.0,1.0,western metropolitan,229.0
3,u,580000.0,13.5,1.0,2.0,western metropolitan,229.0
3,h,725000.0,13.5,1.0,2.0,western metropolitan,229.0
4,h,758000.0,13.5,1.0,2.0,western metropolitan,229.0
2,u,440000.0,13.5,1.0,1.0,western metropolitan,229.0
3,h,970000.0,13.5,1.0,2.0,western metropolitan,229.0
5,h,755000.0,13.5,2.0,2.0,western metropolitan,229.0
4,h,985000.0,13.5,1.0,2.0,western metropolitan,229.0
3,t,700000.0,13.5,2.0,2.0,western metropolitan,229.0
2,u,509500.0,13.5,1.0,2.0,western metropolitan,229.0
3,h,830000.0,13.5,1.0,2.0,western metropolitan,229.0
2,u,462500.0,13.5,1.0,1.0,western metropolitan,229.0
3,h,670000.0,13.5,2.0,2.0,western metropolitan,229.0
2,h,675000.0,13.5,1.0,1.0,western metropolitan,229.0
3,h,1042000.0,13.5,2.0,3.0,western metropolitan,229.0
3,h,910000.0,13.5,1.0,1.0,western metropolitan,229.0
4,h,773000.0,13.5,3.0,3.0,western metropolitan,229.0
3,h,715000.0,13.5,1.0,2.0,western metropolitan,229.0
3,h,810000.0,13.5,3.0,2.0,western metropolitan,229.0
3,h,715000.0,13.5,2.0,2.0,western metropolitan,229.0
3,h,790000.0,13.5,1.0,3.0,western metropolitan,229.0
2,t,460000.0,13.5,1.0,2.0,western metropolitan,229.0
3,t,540000.0,13.5,2.0,1.0,western metropolitan,229.0
3,t,825000.0,13.5,2.0,1.0,western metropolitan,229.0
3,h,685000.0,13.5,1.0,1.0,western metropolitan,229.0
3,u,445000.0,13.5,1.0,2.0,western metropolitan,229.0
3,h,805000.0,13.5,1.0,1.0,western metropolitan,229.0
2,u,510000.0,13.5,1.0,1.0,western metropolitan,229.0
3,h,612000.0,13.5,2.0,1.0,western metropolitan,229.0
3,h,662000.0,13.5,1.0,2.0,western metropolitan,229.0
4,h,978000.0,13.5,3.0,2.0,western metropolitan,229.0
3,h,720000.0,13.5,1.0,1.0,western metropolitan,229.0
2,u,474000.0,13.5,1.0,2.0,western metropolitan,229.0
2,t,490000.0,13.5,1.0,2.0,western metropolitan,229.0
3,h,415000.0,13.5,1.0,2.0,western metropolitan,229.0
3,t,715000.0,13.5,1.0,2.0,western metropolitan,229.0
3,u,671500.0,13.5,1.0,2.0,western metropolitan,229.0
4,h,765000.0,13.5,1.0,2.0,western metropolitan,229.0
4,h,900000.0,13.5,2.0,3.0,western metropolitan,229.0
3,u,820000.0,13.5,1.0,2.0,western metropolitan,229.0
3,u,650000.0,13.5,1.0,2.0,western metropolitan,229.0
3,t,552000.0,13.5,1.0,2.0,western metropolitan,229.0
2,h,1275000.0,3.3,1.0,1.0,southern metropolitan,191.0
2,h,1455000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,2250000.0,3.3,2.0,1.0,southern metropolitan,191.0
3,h,1850000.0,3.3,2.0,1.0,southern metropolitan,191.0
2,h,1436000.0,3.3,1.0,1.0,southern metropolitan,191.0
2,h,1110000.0,3.3,1.0,1.0,southern metropolitan,191.0
2,h,1550000.0,3.3,1.0,1.0,southern metropolitan,191.0
4,h,2250000.0,3.3,2.0,1.0,southern metropolitan,191.0
3,t,1550000.0,3.3,2.0,2.0,southern metropolitan,191.0
3,h,1800000.0,3.3,2.0,1.0,southern metropolitan,191.0
3,h,2250000.0,3.3,2.0,2.0,southern metropolitan,191.0
2,h,2120000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,1800000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,1800000.0,3.3,2.0,1.0,southern metropolitan,191.0
2,h,1810000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,2250000.0,3.3,2.0,1.0,southern metropolitan,191.0
5,h,2100000.0,3.3,2.0,1.0,southern metropolitan,191.0
3,h,1300000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,1370000.0,3.3,2.0,2.0,southern metropolitan,191.0
2,h,1000000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,2250000.0,3.3,2.0,1.0,southern metropolitan,191.0
2,h,1322500.0,3.3,1.0,1.0,southern metropolitan,191.0
2,h,1562500.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,2000000.0,3.3,2.0,1.0,southern metropolitan,191.0
3,h,1900000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,2250000.0,3.3,2.0,1.0,southern metropolitan,191.0
4,h,2250000.0,3.3,3.0,1.0,southern metropolitan,191.0
2,u,647000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,2100000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,2000000.0,3.3,1.0,1.0,southern metropolitan,191.0
2,u,442500.0,3.3,1.0,1.0,southern metropolitan,191.0
4,h,2250000.0,3.3,2.0,1.0,southern metropolitan,191.0
2,h,1340000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,1801000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,1532000.0,3.3,3.0,1.0,southern metropolitan,191.0
3,h,2250000.0,3.3,2.0,2.0,southern metropolitan,191.0
4,h,2140000.0,3.3,2.0,1.0,southern metropolitan,191.0
2,u,1810000.0,3.3,2.0,2.0,southern metropolitan,191.0
2,h,1750000.0,3.3,1.0,1.0,southern metropolitan,191.0
2,h,980000.0,3.3,1.0,1.0,southern metropolitan,191.0
3,h,2030000.0,3.3,2.0,1.0,southern metropolitan,191.0
3,h,1740000.0,3.3,2.0,2.0,southern metropolitan,191.0
3,h,2250000.0,3.3,3.0,1.0,southern metropolitan,191.0
2,h,985000.0,3.3,1.0,1.0,southern metropolitan,191.0
4,h,2000000.0,6.4,2.0,3.0,northern metropolitan,239.0
3,h,1110000.0,6.4,2.0,2.0,northern metropolitan,239.0
3,h,1492000.0,6.4,2.0,2.0,northern metropolitan,239.0
2,u,480000.0,6.4,1.0,1.0,northern metropolitan,239.0
3,t,1304000.0,6.4,1.0,1.0,northern metropolitan,239.0
4,h,1717500.0,6.4,2.0,1.0,northern metropolitan,239.0
5,h,2250000.0,6.4,3.0,3.0,northern metropolitan,239.0
2,u,525500.0,6.4,1.0,1.0,northern metropolitan,239.0
2,t,805000.0,6.4,2.0,3.0,northern metropolitan,239.0
2,u,465000.0,6.4,1.0,1.0,northern metropolitan,239.0
3,h,1480000.0,6.4,1.0,1.0,northern metropolitan,239.0
3,h,2000000.0,6.4,3.0,2.0,northern metropolitan,239.0
3,h,1540000.0,6.4,1.0,2.0,northern metropolitan,239.0
2,u,590000.0,6.4,1.0,1.0,northern metropolitan,239.0
2,u,820000.0,6.4,1.0,1.0,northern metropolitan,239.0
4,h,1830000.0,6.4,2.0,2.0,northern metropolitan,239.0
4,h,2100000.0,6.4,2.0,2.0,northern metropolitan,239.0
3,h,865000.0,6.4,1.0,1.0,northern metropolitan,239.0
2,u,415000.0,6.4,1.0,1.0,northern metropolitan,239.0
2,t,650000.0,6.4,1.0,1.0,northern metropolitan,239.0
2,u,512000.0,6.4,1.0,1.0,northern metropolitan,239.0
3,h,1361000.0,6.4,1.0,1.0,northern metropolitan,239.0
3,h,1310000.0,6.4,1.0,1.0,northern metropolitan,239.0
3,h,570000.0,6.4,1.0,1.0,northern metropolitan,239.0
3,h,1165000.0,6.4,1.0,2.0,northern metropolitan,239.0
2,u,530000.0,6.4,1.0,1.0,northern metropolitan,239.0
4,h,1900000.0,6.4,2.0,2.0,northern metropolitan,239.0
3,h,1485000.0,6.4,1.0,1.0,northern metropolitan,239.0
4,h,1950000.0,6.4,2.0,3.0,northern metropolitan,239.0
3,h,520000.0,13.8,2.0,1.0,western metropolitan,229.0
5,h,1525000.0,13.8,3.0,3.0,western metropolitan,229.0
2,t,720000.0,13.8,1.0,2.0,western metropolitan,229.0
3,h,1120000.0,13.8,1.0,2.0,western metropolitan,229.0
4,h,780000.0,13.8,1.0,3.0,western metropolitan,229.0
4,h,1780000.0,13.8,3.0,3.0,western metropolitan,229.0
3,u,630000.0,13.8,1.0,2.0,western metropolitan,229.0
2,u,415000.0,13.8,1.0,1.0,western metropolitan,229.0
3,h,660000.0,13.8,1.0,1.0,western metropolitan,229.0
3,h,683500.0,13.8,1.0,1.0,western metropolitan,229.0
2,u,540000.0,13.8,1.0,2.0,western metropolitan,229.0
2,u,580000.0,13.8,1.0,1.0,western metropolitan,229.0
3,h,1335000.0,13.8,1.0,3.0,western metropolitan,229.0
3,t,800000.0,13.8,2.0,2.0,western metropolitan,229.0
2,u,510000.0,13.8,1.0,1.0,western metropolitan,229.0
4,h,1070000.0,13.8,2.0,2.0,western metropolitan,229.0
2,u,425000.0,13.8,1.0,2.0,western metropolitan,229.0
3,u,605000.0,13.8,2.0,2.0,western metropolitan,229.0
3,t,705000.0,13.8,2.0,2.0,western metropolitan,229.0
2,u,415000.0,13.8,1.0,1.0,western metropolitan,229.0
2,u,440000.0,13.8,1.0,1.0,western metropolitan,229.0
4,h,845000.0,13.8,1.0,2.0,western metropolitan,229.0
3,h,766000.0,13.8,1.0,2.0,western metropolitan,229.0
3,t,743000.0,13.8,2.0,2.0,western metropolitan,229.0
3,t,650000.0,13.8,1.0,2.0,western metropolitan,229.0
3,u,730000.0,13.8,2.0,1.0,western metropolitan,229.0
3,t,916500.0,13.8,1.0,2.0,western metropolitan,229.0
3,h,635000.0,13.8,1.0,3.0,western metropolitan,229.0
2,u,620000.0,13.8,1.0,1.0,western metropolitan,229.0
2,u,447000.0,13.8,1.0,1.0,western metropolitan,229.0
3,u,730000.0,13.8,2.0,1.0,western metropolitan,229.0
3,h,678000.0,13.8,1.0,2.0,western metropolitan,229.0
2,u,580000.0,13.8,2.0,1.0,western metropolitan,229.0
3,h,712000.0,13.8,1.0,2.0,western metropolitan,229.0
3,h,840000.0,13.8,2.0,2.0,western metropolitan,229.0
3,h,980000.0,13.8,1.0,2.0,western metropolitan,229.0
4,h,1000000.0,13.8,1.0,2.0,western metropolitan,229.0
3,t,605100.0,13.8,2.0,1.0,western metropolitan,229.0
3,h,880000.0,13.8,3.0,1.0,western metropolitan,229.0
3,u,577000.0,13.8,2.0,1.0,western metropolitan,229.0
4,h,1030000.0,13.8,1.0,1.0,western metropolitan,229.0
3,u,605000.0,13.8,1.0,2.0,western metropolitan,229.0
3,h,685000.0,13.8,1.0,2.0,western metropolitan,229.0
3,h,753000.0,13.8,2.0,2.0,western metropolitan,229.0
2,h,857000.0,13.8,2.0,1.0,western metropolitan,229.0
3,h,1500000.0,13.8,1.0,1.0,western metropolitan,229.0
3,h,900000.0,13.8,1.0,3.0,western metropolitan,229.0
3,h,740000.0,13.8,1.0,2.0,western metropolitan,229.0
4,h,931000.0,13.8,2.0,3.0,western metropolitan,229.0
2,h,535600.0,13.8,1.0,1.0,western metropolitan,229.0
5,h,1085000.0,11.1,3.0,3.0,western metropolitan,229.0
3,h,781000.0,11.1,1.0,2.0,western metropolitan,229.0
4,h,857500.0,11.1,1.0,2.0,western metropolitan,229.0
4,h,960000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,750000.0,11.1,1.0,3.0,western metropolitan,229.0
2,t,421000.0,11.1,1.0,1.0,western metropolitan,229.0
3,h,1405000.0,11.1,1.0,3.0,western metropolitan,229.0
3,h,683000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,623000.0,11.1,1.0,3.0,western metropolitan,229.0
3,h,720000.0,11.1,2.0,1.0,western metropolitan,229.0
4,t,780000.0,11.1,1.0,2.0,western metropolitan,229.0
3,u,720000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,705000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,588000.0,11.1,1.0,1.0,western metropolitan,229.0
4,h,720000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,710000.0,11.1,1.0,3.0,western metropolitan,229.0
2,h,550000.0,11.1,1.0,2.0,western metropolitan,229.0
3,u,640000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,537500.0,11.1,1.0,2.0,western metropolitan,229.0
4,h,875000.0,11.1,1.0,3.0,western metropolitan,229.0
3,h,800000.0,11.1,1.0,2.0,western metropolitan,229.0
3,t,713500.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,700000.0,11.1,1.0,3.0,western metropolitan,229.0
2,h,551000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,685000.0,11.1,1.0,2.0,western metropolitan,229.0
2,t,640000.0,11.1,1.0,1.0,western metropolitan,229.0
4,h,650000.0,11.1,1.0,3.0,western metropolitan,229.0
3,h,925000.0,11.1,1.0,2.0,western metropolitan,229.0
3,t,670000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,680000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,765000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,675000.0,11.1,2.0,2.0,western metropolitan,229.0
3,h,708000.0,11.1,1.0,2.0,western metropolitan,229.0
3,t,656000.0,11.1,1.0,2.0,western metropolitan,229.0
4,h,883000.0,11.1,1.0,2.0,western metropolitan,229.0
4,h,965000.0,11.1,1.0,3.0,western metropolitan,229.0
3,h,870000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,681000.0,11.1,1.0,2.0,western metropolitan,229.0
2,h,522500.0,11.1,1.0,2.0,western metropolitan,229.0
5,h,972000.0,11.1,1.0,2.0,western metropolitan,229.0
3,t,590000.0,11.1,1.0,2.0,western metropolitan,229.0
2,h,450000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,750000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,680000.0,11.1,1.0,3.0,western metropolitan,229.0
2,t,510000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,770000.0,11.1,1.0,3.0,western metropolitan,229.0
3,h,923000.0,11.1,1.0,2.0,western metropolitan,229.0
4,h,693000.0,11.1,2.0,3.0,western metropolitan,229.0
3,h,620000.0,11.1,2.0,2.0,western metropolitan,229.0
3,h,728500.0,11.1,1.0,1.0,western metropolitan,229.0
3,h,931000.0,11.1,2.0,1.0,western metropolitan,229.0
3,h,988000.0,11.1,1.0,3.0,western metropolitan,229.0
3,h,590000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,590000.0,11.1,1.0,2.0,western metropolitan,229.0
2,h,610000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,815000.0,11.1,2.0,3.0,western metropolitan,229.0
4,h,970000.0,11.1,1.0,2.0,western metropolitan,229.0
4,h,840000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,840000.0,11.1,1.0,2.0,western metropolitan,229.0
4,h,760000.0,11.1,1.0,3.0,western metropolitan,229.0
3,h,852500.0,11.1,1.0,2.0,western metropolitan,229.0
4,t,847500.0,11.1,3.0,1.0,western metropolitan,229.0
4,h,1200000.0,11.1,1.0,3.0,western metropolitan,229.0
3,h,630000.0,11.1,1.0,2.0,western metropolitan,229.0
3,h,700000.0,11.1,1.0,1.0,western metropolitan,229.0
3,h,625000.0,11.1,1.0,1.0,western metropolitan,229.0
2,u,415000.0,11.1,1.0,1.0,western metropolitan,229.0
3,t,640000.0,11.1,1.0,2.0,western metropolitan,229.0
2,u,599000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,550000.0,6.3,1.0,1.0,southern metropolitan,191.0
3,u,995000.0,6.3,2.0,2.0,southern metropolitan,191.0
3,t,1205000.0,6.3,2.0,2.0,southern metropolitan,191.0
3,h,2250000.0,6.3,2.0,2.0,southern metropolitan,191.0
3,h,1939000.0,6.3,2.0,2.0,southern metropolitan,191.0
2,u,421500.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,585000.0,6.3,2.0,2.0,southern metropolitan,191.0
3,h,2050000.0,6.3,2.0,2.0,southern metropolitan,191.0
3,h,1870000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,678000.0,6.3,1.0,2.0,southern metropolitan,191.0
3,t,1918000.0,6.3,2.0,2.0,southern metropolitan,191.0
2,u,660000.0,6.3,1.0,1.0,southern metropolitan,191.0
3,h,2050000.0,6.3,2.0,1.0,southern metropolitan,191.0
2,u,700000.0,6.3,1.0,2.0,southern metropolitan,191.0
2,u,2250000.0,6.3,2.0,2.0,southern metropolitan,191.0
4,h,2250000.0,6.3,2.0,2.0,southern metropolitan,191.0
2,h,1930000.0,6.3,2.0,2.0,southern metropolitan,191.0
5,h,1525000.0,6.3,2.0,2.0,southern metropolitan,191.0
3,u,735000.0,6.3,2.0,1.0,southern metropolitan,191.0
2,u,825000.0,6.3,1.0,1.0,southern metropolitan,191.0
3,t,1586000.0,6.3,2.0,2.0,southern metropolitan,191.0
2,u,645000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,h,1435000.0,6.3,2.0,1.0,southern metropolitan,191.0
2,u,415000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,415000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,h,1780000.0,6.3,2.0,2.0,southern metropolitan,191.0
2,u,592500.0,6.3,1.0,1.0,southern metropolitan,191.0
2,h,1210000.0,6.3,1.0,1.0,southern metropolitan,191.0
4,h,2250000.0,6.3,2.0,2.0,southern metropolitan,191.0
2,u,415000.0,6.3,1.0,1.0,southern metropolitan,191.0
3,h,1800000.0,6.3,2.0,2.0,southern metropolitan,191.0
4,h,2200000.0,6.3,1.0,2.0,southern metropolitan,191.0
2,u,415000.0,6.3,1.0,1.0,southern metropolitan,191.0
5,h,2250000.0,6.3,3.0,3.0,southern metropolitan,191.0
2,h,1125000.0,6.3,1.0,2.0,southern metropolitan,191.0
3,h,2250000.0,6.3,3.0,1.0,southern metropolitan,191.0
3,h,2250000.0,6.3,2.0,1.0,southern metropolitan,191.0
2,h,1900000.0,6.3,2.0,1.0,southern metropolitan,191.0
2,u,440000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,490000.0,6.3,1.0,1.0,southern metropolitan,191.0
3,h,2250000.0,6.3,2.0,1.0,southern metropolitan,191.0
3,h,1300000.0,6.3,1.0,2.0,southern metropolitan,191.0
3,u,732000.0,6.3,2.0,2.0,southern metropolitan,191.0
2,u,704000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,620000.0,6.3,1.0,1.0,southern metropolitan,191.0
3,h,1900000.0,6.3,1.0,2.0,southern metropolitan,191.0
2,u,415000.0,6.3,1.0,1.0,southern metropolitan,191.0
3,h,1992000.0,6.3,2.0,2.0,southern metropolitan,191.0
2,u,450000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,710000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,872000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,598000.0,6.3,1.0,1.0,southern metropolitan,191.0
3,h,1285000.0,6.3,1.0,2.0,southern metropolitan,191.0
4,h,2250000.0,6.3,3.0,2.0,southern metropolitan,191.0
2,u,520000.0,6.3,1.0,1.0,southern metropolitan,191.0
4,h,2250000.0,6.3,2.0,2.0,southern metropolitan,191.0
2,u,690000.0,6.3,2.0,2.0,southern metropolitan,191.0
4,h,2250000.0,6.3,1.0,2.0,southern metropolitan,191.0
4,h,2250000.0,6.3,3.0,3.0,southern metropolitan,191.0
3,t,1101000.0,6.3,1.0,2.0,southern metropolitan,191.0
3,h,2250000.0,6.3,2.0,2.0,southern metropolitan,191.0
4,h,2000000.0,6.3,3.0,3.0,southern metropolitan,191.0
3,u,869000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,577000.0,6.3,2.0,2.0,southern metropolitan,191.0
3,h,2250000.0,6.3,2.0,2.0,southern metropolitan,191.0
5,h,2250000.0,6.3,2.0,2.0,southern metropolitan,191.0
2,u,565000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,567000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,546000.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,471500.0,6.3,1.0,1.0,southern metropolitan,191.0
2,u,455000.0,5.9,1.0,2.0,western metropolitan,229.0
3,h,940000.0,5.9,1.0,2.0,western metropolitan,229.0
2,u,467000.0,5.9,1.0,1.0,western metropolitan,229.0
3,h,895000.0,5.9,1.0,2.0,western metropolitan,229.0
3,h,1380000.0,5.9,2.0,2.0,western metropolitan,229.0
2,u,490000.0,5.9,1.0,1.0,western metropolitan,229.0
4,h,1850000.0,5.9,3.0,1.0,western metropolitan,229.0
3,h,1284000.0,5.9,1.0,2.0,western metropolitan,229.0
3,h,971000.0,5.9,2.0,2.0,western metropolitan,229.0
2,h,710000.0,5.9,1.0,1.0,western metropolitan,229.0
5,h,2250000.0,5.9,3.0,2.0,western metropolitan,229.0
2,h,750000.0,5.9,1.0,1.0,western metropolitan,229.0
2,h,840000.0,5.9,1.0,2.0,western metropolitan,229.0
2,h,1053000.0,5.9,1.0,1.0,western metropolitan,229.0
3,h,1377000.0,5.9,1.0,1.0,western metropolitan,229.0
3,h,970000.0,5.9,1.0,2.0,western metropolitan,229.0
2,h,940000.0,5.9,1.0,1.0,western metropolitan,229.0
2,h,751000.0,5.9,1.0,1.0,western metropolitan,229.0
2,h,950000.0,5.9,1.0,1.0,western metropolitan,229.0
2,u,685000.0,5.9,1.0,2.0,western metropolitan,229.0
3,h,1230000.0,5.9,1.0,2.0,western metropolitan,229.0
2,h,636500.0,5.9,1.0,1.0,western metropolitan,229.0
3,h,910000.0,5.9,1.0,1.0,western metropolitan,229.0
2,h,872500.0,5.9,1.0,2.0,western metropolitan,229.0
2,h,770000.0,5.9,1.0,1.0,western metropolitan,229.0
2,t,490000.0,5.9,1.0,2.0,western metropolitan,229.0
3,h,960000.0,5.9,2.0,2.0,western metropolitan,229.0
4,h,890000.0,5.9,1.0,1.0,western metropolitan,229.0
2,h,965000.0,5.9,1.0,1.0,western metropolitan,229.0
4,h,1200000.0,5.9,1.0,2.0,western metropolitan,229.0
3,h,1440000.0,5.9,1.0,1.0,western metropolitan,229.0
2,h,955000.0,5.9,1.0,1.0,western metropolitan,229.0
2,u,450000.0,5.9,1.0,1.0,western metropolitan,229.0
3,h,801000.0,5.9,1.0,2.0,western metropolitan,229.0
3,h,770000.0,5.9,1.0,2.0,western metropolitan,229.0
3,h,1000000.0,5.9,2.0,2.0,western metropolitan,229.0
3,h,1435000.0,5.9,2.0,2.0,western metropolitan,229.0
2,u,415000.0,5.9,1.0,1.0,western metropolitan,229.0
3,h,1425000.0,5.9,2.0,2.0,western metropolitan,229.0
3,h,925000.0,5.9,1.0,2.0,western metropolitan,229.0
4,h,1340000.0,5.9,2.0,2.0,western metropolitan,229.0
3,h,955000.0,5.9,1.0,1.0,western metropolitan,229.0
2,h,1075000.0,5.9,1.0,2.0,western metropolitan,229.0
4,h,1100000.0,5.9,2.0,3.0,western metropolitan,229.0
3,h,1255000.0,5.9,2.0,2.0,western metropolitan,229.0
